,"""enh_impression_list""","""enh_impression_name""","""enh_impression_position""","""search_sortby""","""object_area""","""object_city""","""object_currency""","""object_display_state""","""object_district""","""object_features""","""object_federalstate""","""object_gok""","""object_is_special""","""object_label""","""object_marketingtype""","""object_objekt_nutzungsart""","""object_objekt_zustand""","""object_objektart""","""object_objektart_sub""","""object_price""","""object_rooms""","""object_listingtype"""
506,Liste,kontakt,14.0,331069.0,97.04,München,EUR,sel_item,Bogenhausen,Balkon|EBK,Bayern,228642a2-4b20-4526-a562-537c5eae8567,,old,Miete,WOHNEN,sonstiges,,ETAGE,2679.0,3.0,standard
507,Liste,kontakt,15.0,66343.0,140.0,München,EUR,sel_item,Altstadt-Lehel,Balkon,Bayern,ffc37045-d9aa-48bc-bb33-179cc8186d7d,,old,Miete,WOHNEN,sonstiges,,DACHGESCHOSS,2690.0,3.0,standard
508,Liste,kontakt,16.0,1845255.0,132.42,München,EUR,sel_item,Pasing-Obermenzing,Balkon|EBK,Bayern,743ce208-8cf6-443c-b965-8de7d6cd4724,,old,Miete,WOHNEN,sonstiges,,MAISONETTE,2690.0,4.0,standard
509,Liste,kontakt,17.0,8022.0,107.0,München,EUR,sel_item,Schwabing-Freimann,Balkon|EBK,Bayern,dfdfe536-2376-438c-ac83-3ebbfb33a4da,,old,Miete,WOHNEN,sonstiges,,Wohnung,2695.0,3.5,standard
510,Liste,kontakt,18.0,8022.0,100.0,München,EUR,sel_item,Schwabing-West,Balkon|EBK,Bayern,2a283fbf-ab2f-412f-840d-5f3319f603a1,,old,Miete,WOHNEN,sonstiges,,ERDGESCHOSS,2700.0,3.0,standard
511,Liste,kontakt,19.0,316913.0,97.0,München,EUR,sel_item,Neuhausen-Nymphenburg,,Bayern,6e30c139-9219-453b-8b50-972d80040bae,,old,Miete,WOHNEN,sonstiges,,Wohnung,2720.0,3.0,standard
512,Liste,kontakt,20.0,177005.0,120.43,München,EUR,sel_item,Thalk.Obersendl.-Forsten-Fürstenr.-Solln,,Bayern,c963cdae-34ef-41b8-8f8c-5a6393384e20,,new,Miete,WOHNEN,sonstiges,,ETAGE,2739.78,4.0,standard
513,Liste,kontakt,21.0,316913.0,92.0,München,EUR,sel_item,Bogenhausen,Balkon,Bayern,369a6c2b-21b3-4347-9bef-af8daa869a74,,old,Miete,WOHNEN,sonstiges,,Wohnung,2760.0,3.0,standard
514,Liste,kontakt,22.0,2057650.0,159.0,München,EUR,sel_item,Obergiesing,EBK,Bayern,9519defd-aa17-4fc8-8183-9b84d9abb511,,old,Miete,WOHNEN,sonstiges,,ETAGE,2790.0,5.0,standard
515,Liste,kontakt,23.0,8022.0,122.63,München,EUR,sel_item,Ramersdorf-Perlach,Garten|EBK,Bayern,5fd14801-f646-4825-b0b8-7a240c545888,,old,Miete,WOHNEN,sonstiges,,ERDGESCHOSS,2800.0,4.0,standard
